date,gpu_name,flipkart_price,flipkart_rating,flipkart_reviews,amazon_price,amazon_rating,amazon_reviews,aliexpress_price,aliexpress_rating,aliexpress_reviews,price_diff_amazon,price_diff_aliexpress,average_rating,discount_flag,units_sold,revenue
2025-03-31,AMD RX 6700 XT,62223,4.0,701,75656,4.4,1167,35883,4.7,1223,-13433,26340,4.366666666666667,0,82,5102286
2025-03-31,NVIDIA RTX 4060,80280,4.2,1578,65377,4.9,217,84560,4.8,336,14903,-4280,4.633333333333334,0,1,80280
2025-03-31,AMD RX 7900 XTX,60622,4.6,1139,50218,4.2,121,90626,4.3,598,10404,-30004,4.366666666666667,0,1,60622
2025-03-30,NVIDIA RTX 3060,41069,3.9,1408,53819,4.9,1161,51136,4.6,1451,-12750,-10067,4.466666666666667,1,83,3408727
2025-03-30,NVIDIA RTX 3070,93528,3.8,865,61082,3.6,1327,34586,4.2,1565,32446,58942,3.866666666666667,0,1,93528
2025-03-30,NVIDIA RTX 3080,47592,4.9,1989,93143,4.5,1359,27142,4.9,768,-45551,20450,4.766666666666667,0,274,13040208
2025-03-30,AMD RX 6600,91518,4.4,1100,49735,3.6,589,74560,3.8,627,41783,16958,3.9333333333333336,0,1,91518
2025-03-30,AMD RX 6700 XT,25468,4.9,1899,23326,3.6,665,89922,3.7,378,2142,-64454,4.066666666666666,0,17,432956
2025-03-30,NVIDIA RTX 4060,64267,3.6,1898,77246,4.5,930,87222,4.7,781,-12979,-22955,4.266666666666667,1,80,5141360
2025-03-30,AMD RX 7900 XTX,33023,4.6,1771,52496,3.5,1541,56052,4.6,1330,-19473,-23029,4.233333333333333,1,133,4392059
2025-03-29,NVIDIA RTX 3060,35434,4.6,362,31731,4.3,1587,35751,4.0,1964,3703,-317,4.3,0,16,566944
2025-03-29,NVIDIA RTX 3070,88799,3.7,1180,70471,4.9,666,77379,4.5,1250,18328,11420,4.366666666666667,0,1,88799
2025-03-29,NVIDIA RTX 3080,79196,4.9,1646,56628,4.9,1031,81184,3.8,336,22568,-1988,4.533333333333334,0,1,79196
2025-03-29,AMD RX 6600,54205,4.0,1475,79656,3.5,458,60856,3.7,796,-25451,-6651,3.733333333333333,1,164,8889620
2025-03-29,AMD RX 6700 XT,74532,4.8,1024,79510,3.7,248,47613,4.4,360,-4978,26919,4.3,0,59,4397388
2025-03-29,NVIDIA RTX 4060,39890,3.8,792,90361,4.0,339,66188,4.4,103,-50471,-26298,4.066666666666666,1,267,10650630
2025-03-29,AMD RX 7900 XTX,29576,4.3,1305,91388,4.8,1765,63243,4.4,488,-61812,-33667,4.5,1,352,10410752
2025-03-28,NVIDIA RTX 3060,50922,3.6,1392,60472,4.2,872,76345,4.0,847,-9550,-25423,3.9333333333333336,1,83,4226526
2025-03-28,NVIDIA RTX 3070,31591,3.6,164,87382,4.6,1688,42812,4.5,1309,-55791,-11221,4.233333333333333,1,323,10203893
2025-03-28,NVIDIA RTX 3080,65889,4.3,670,87725,4.2,1301,51989,4.1,1202,-21836,13900,4.2,0,124,8170236
2025-03-28,AMD RX 6600,87379,4.3,1581,29532,3.7,238,84960,3.7,707,57847,2419,3.9,0,1,87379
2025-03-28,AMD RX 6700 XT,85943,4.7,1753,77347,4.7,551,54786,4.5,401,8596,31157,4.633333333333334,0,1,85943
2025-03-28,NVIDIA RTX 4060,76913,3.6,1449,54723,4.1,823,60338,4.6,1839,22190,16575,4.1,0,1,76913
2025-03-28,AMD RX 7900 XTX,81400,4.1,1056,94087,3.5,1804,31407,4.0,1128,-12687,49993,3.8666666666666667,0,83,6756200
2025-03-27,NVIDIA RTX 3060,34616,4.5,1423,58550,3.9,917,40422,5.0,1546,-23934,-5806,4.466666666666667,1,167,5780872
2025-03-27,NVIDIA RTX 3070,35395,4.1,794,67447,4.3,465,89858,4.7,1113,-32052,-54463,4.366666666666666,1,176,6229520
2025-03-27,NVIDIA RTX 3080,38358,3.8,1198,87034,4.0,1931,65974,4.9,220,-48676,-27616,4.233333333333333,1,267,10241586
2025-03-27,AMD RX 6600,81948,4.1,670,58765,4.9,1499,66915,4.7,531,23183,15033,4.566666666666666,0,1,81948
2025-03-27,AMD RX 6700 XT,84683,4.8,254,51012,4.6,580,57237,4.6,1990,33671,27446,4.666666666666666,0,1,84683
2025-03-27,NVIDIA RTX 4060,84590,3.6,1435,55900,3.8,515,49457,4.6,712,28690,35133,4.0,0,1,84590
2025-03-27,AMD RX 7900 XTX,24698,4.9,1838,59795,4.0,1695,43041,4.3,791,-35097,-18343,4.3999999999999995,1,204,5038392
2025-03-26,NVIDIA RTX 3060,54344,4.1,1085,36965,4.9,1484,82922,4.2,813,17379,-28578,4.3999999999999995,0,1,54344
2025-03-26,NVIDIA RTX 3070,53301,4.9,437,91602,3.5,1855,76499,3.6,1588,-38301,-23198,4.0,1,220,11726220
2025-03-26,NVIDIA RTX 3080,71689,5.0,643,31489,4.1,745,61411,4.5,499,40200,10278,4.533333333333333,0,1,71689
2025-03-26,AMD RX 6600,83974,4.1,1596,91238,4.8,1105,74409,3.7,1640,-7264,9565,4.199999999999999,0,82,6885868
2025-03-26,AMD RX 6700 XT,87056,3.8,545,50156,3.9,554,34906,4.0,1440,36900,52150,3.9,0,1,87056
2025-03-26,NVIDIA RTX 4060,34409,4.6,224,39252,4.3,966,48183,3.7,1525,-4843,-13774,4.199999999999999,1,39,1341951
2025-03-26,AMD RX 7900 XTX,63572,3.6,1076,89123,3.5,811,87618,4.8,529,-25551,-24046,3.9666666666666663,1,152,9662944
2025-03-25,NVIDIA RTX 3060,92259,3.7,1140,79227,4.7,1036,52193,4.6,118,13032,40066,4.333333333333333,0,1,92259
2025-03-25,NVIDIA RTX 3070,34022,3.6,239,43496,4.3,746,75424,4.8,308,-9474,-41402,4.233333333333333,1,59,2007298
2025-03-25,NVIDIA RTX 3080,56135,3.7,1923,23199,4.5,877,44430,4.9,974,32936,11705,4.366666666666666,0,1,56135
2025-03-25,AMD RX 6600,59013,4.4,1368,37870,4.0,1865,44510,3.6,1070,21143,14503,4.0,0,1,59013
2025-03-25,AMD RX 6700 XT,36179,4.5,1257,57572,4.3,585,45973,3.7,1155,-21393,-9794,4.166666666666667,1,133,4811807
2025-03-25,NVIDIA RTX 4060,93113,4.9,518,61172,4.9,802,71227,4.2,404,31941,21886,4.666666666666667,0,1,93113
2025-03-25,AMD RX 7900 XTX,65135,3.9,368,71468,4.2,531,76959,3.6,593,-6333,-11824,3.9,1,50,3256750
2025-03-24,NVIDIA RTX 3060,65066,4.0,1639,82671,4.6,847,77991,4.0,1320,-17605,-12925,4.2,1,131,8523646
2025-03-24,NVIDIA RTX 3070,31584,4.2,1253,76796,4.2,1270,49955,4.6,1688,-45212,-18371,4.333333333333333,1,257,8117088
2025-03-24,NVIDIA RTX 3080,35704,4.3,1136,43905,4.5,1767,37543,4.8,1431,-8201,-1839,4.533333333333334,1,73,2606392
2025-03-24,AMD RX 6600,57845,4.9,1904,40994,3.9,582,74336,4.4,1011,16851,-16491,4.4,0,1,57845
2025-03-24,AMD RX 6700 XT,33017,4.1,423,81771,3.8,1738,70240,3.7,269,-48754,-37223,3.8666666666666667,1,295,9740015
2025-03-24,NVIDIA RTX 4060,83883,4.6,1352,45475,4.7,461,42004,4.5,1960,38408,41879,4.6000000000000005,0,1,83883
2025-03-24,AMD RX 7900 XTX,91393,4.5,1235,81341,3.7,1929,90655,3.5,1273,10052,738,3.9,0,1,91393
2025-03-23,NVIDIA RTX 3060,66674,3.7,1898,94139,4.6,1708,87090,4.5,293,-27465,-20416,4.266666666666667,1,179,11934646
2025-03-23,NVIDIA RTX 3070,41767,3.7,319,88239,3.9,1858,48881,4.2,1420,-46472,-7114,3.9333333333333336,1,260,10859420
2025-03-23,NVIDIA RTX 3080,44605,3.9,531,31516,3.6,434,81284,4.4,303,13089,-36679,3.966666666666667,0,1,44605
2025-03-23,AMD RX 6600,68609,4.5,1846,31634,4.7,1075,65148,4.6,1865,36975,3461,4.6,0,1,68609
2025-03-23,AMD RX 6700 XT,60740,4.2,1954,38307,4.6,632,49553,4.7,140,22433,11187,4.5,0,1,60740
2025-03-23,NVIDIA RTX 4060,29414,4.5,1798,72263,4.3,1758,78170,4.7,1704,-42849,-48756,4.5,1,261,7677054
2025-03-23,AMD RX 7900 XTX,58626,3.5,1679,58598,3.5,348,95481,3.6,1814,28,-36855,3.533333333333333,0,13,762138
2025-03-22,NVIDIA RTX 3060,44365,5.0,430,73585,4.9,507,39963,4.9,1938,-29220,4402,4.933333333333334,0,161,7142765
2025-03-22,NVIDIA RTX 3070,84431,4.6,1248,47208,4.0,1478,38858,4.8,1523,37223,45573,4.466666666666666,0,1,84431
2025-03-22,NVIDIA RTX 3080,24183,3.6,1908,92897,4.7,1015,45627,4.3,1739,-68714,-21444,4.2,1,390,9431370
2025-03-22,AMD RX 6600,46005,3.6,856,35398,4.4,1049,64202,3.6,1277,10607,-18197,3.8666666666666667,0,1,46005
2025-03-22,AMD RX 6700 XT,44930,3.7,731,42357,4.5,790,54376,3.7,1251,2573,-9446,3.9666666666666663,0,10,449300
2025-03-22,NVIDIA RTX 4060,70121,4.8,530,82459,4.4,928,55940,3.6,355,-12338,14181,4.266666666666667,0,88,6170648
2025-03-22,AMD RX 7900 XTX,60169,3.7,1697,31999,3.7,567,90786,4.0,1214,28170,-30617,3.8000000000000003,0,1,60169
2025-03-21,NVIDIA RTX 3060,80348,4.6,1995,65683,4.5,1554,47957,5.0,1447,14665,32391,4.7,0,1,80348
2025-03-21,NVIDIA RTX 3070,54360,5.0,1760,62017,4.5,655,24045,4.0,1163,-7657,30315,4.5,0,52,2826720
2025-03-21,NVIDIA RTX 3080,48583,3.5,1608,83288,4.6,1166,65855,4.3,386,-34705,-17272,4.133333333333333,1,205,9959515
2025-03-21,AMD RX 6600,68912,4.7,1869,84411,3.8,1849,91977,4.0,1965,-15499,-23065,4.166666666666667,1,95,6546640
2025-03-21,AMD RX 6700 XT,56712,3.7,1536,26051,4.6,1455,73117,4.3,529,30661,-16405,4.2,0,1,56712
2025-03-21,NVIDIA RTX 4060,39301,4.8,1858,60723,4.6,531,40405,4.7,585,-21422,-1104,4.699999999999999,1,143,5620043
2025-03-21,AMD RX 7900 XTX,85516,3.8,1980,47129,3.7,230,28354,3.7,1853,38387,57162,3.733333333333333,0,1,85516
2025-03-20,NVIDIA RTX 3060,85196,4.0,1728,88513,3.6,1678,51307,4.4,542,-3317,33889,4.0,0,37,3152252
2025-03-20,NVIDIA RTX 3070,53657,3.5,495,78329,4.6,270,71335,3.7,1374,-24672,-17678,3.9333333333333336,1,158,8477806
2025-03-20,NVIDIA RTX 3080,76916,3.9,242,37772,4.4,272,77923,4.3,633,39144,-1007,4.2,0,1,76916
2025-03-20,AMD RX 6600,61461,4.5,918,75631,3.8,1610,77362,4.9,919,-14170,-15901,4.4,1,92,5654412
2025-03-20,AMD RX 6700 XT,65630,3.7,634,62877,4.4,368,82459,4.9,1485,2753,-16829,4.333333333333334,0,30,1968900
2025-03-20,NVIDIA RTX 4060,50161,4.9,643,92438,3.5,1458,83439,3.7,517,-42277,-33278,4.033333333333334,1,224,11236064
2025-03-20,AMD RX 7900 XTX,27902,4.4,807,71435,4.8,1056,36405,4.6,1396,-43533,-8503,4.6,1,269,7505638
2025-03-19,NVIDIA RTX 3060,66688,4.4,1147,62198,4.2,1528,53100,4.1,1446,4490,13588,4.233333333333333,0,28,1867264
2025-03-19,NVIDIA RTX 3070,40312,4.8,489,50044,4.4,1392,93988,3.7,1782,-9732,-53676,4.3,1,79,3184648
2025-03-19,NVIDIA RTX 3080,55749,4.6,103,83301,4.5,1193,44709,5.0,988,-27552,11040,4.7,0,167,9310083
2025-03-19,AMD RX 6600,94556,4.5,1619,65431,4.2,565,71880,4.9,606,29125,22676,4.533333333333333,0,1,94556
2025-03-19,AMD RX 6700 XT,50808,4.1,1460,37357,4.0,944,34373,3.7,325,13451,16435,3.9333333333333336,0,1,50808
2025-03-19,NVIDIA RTX 4060,70383,4.0,1836,57328,4.0,100,75857,4.0,282,13055,-5474,4.0,0,1,70383
2025-03-19,AMD RX 7900 XTX,44230,4.9,1138,91708,4.0,1060,72287,4.7,399,-47478,-28057,4.533333333333334,1,274,12119020
2025-03-18,NVIDIA RTX 3060,68001,4.1,924,28724,4.9,1647,53832,3.5,872,39277,14169,4.166666666666667,0,1,68001
2025-03-18,NVIDIA RTX 3070,65293,3.7,961,86984,3.5,981,54228,4.9,1703,-21691,11065,4.033333333333334,0,130,8488090
2025-03-18,NVIDIA RTX 3080,77243,4.6,456,65283,3.8,114,39626,4.3,1893,11960,37617,4.233333333333333,0,1,77243
2025-03-18,AMD RX 6600,64772,4.3,100,72518,4.1,1248,67003,4.7,1102,-7746,-2231,4.366666666666666,1,66,4274952
2025-03-18,AMD RX 6700 XT,64179,3.8,1709,82525,3.9,1564,38855,4.0,1271,-18346,25324,3.9,0,123,7894017
2025-03-18,NVIDIA RTX 4060,68046,4.2,1483,76180,3.8,262,63479,3.9,302,-8134,4567,3.966666666666667,0,64,4354944
2025-03-18,AMD RX 7900 XTX,54197,4.2,1945,82465,3.9,1665,29684,4.0,1639,-28268,24513,4.033333333333333,0,173,9376081
2025-03-17,NVIDIA RTX 3060,49638,3.6,1155,59965,4.5,1189,74540,4.0,1618,-10327,-24902,4.033333333333333,1,77,3822126
2025-03-17,NVIDIA RTX 3070,66698,4.7,1638,60617,3.8,240,96207,4.4,1840,6081,-29509,4.3,0,7,466886
2025-03-17,NVIDIA RTX 3080,58295,4.0,1751,47027,3.9,1404,78682,4.4,630,11268,-20387,4.1000000000000005,0,1,58295
2025-03-17,AMD RX 6600,49307,3.5,601,86742,4.2,1534,28869,4.3,418,-37435,20438,4.0,0,215,10601005
2025-03-17,AMD RX 6700 XT,89284,4.8,249,88024,4.0,411,39731,4.1,1606,1260,49553,4.3,0,34,3035656
2025-03-17,NVIDIA RTX 4060,85087,4.8,1278,32887,3.5,309,57477,4.9,1409,52200,27610,4.4,0,1,85087
2025-03-17,AMD RX 7900 XTX,53369,4.5,1112,61182,3.7,997,76311,4.7,1488,-7813,-22942,4.3,1,79,4216151
2025-03-16,NVIDIA RTX 3060,76381,3.7,1508,24982,3.6,130,82609,4.2,998,51399,-6228,3.8333333333333335,0,1,76381
2025-03-16,NVIDIA RTX 3070,23599,4.7,548,88473,4.0,738,72238,4.3,664,-64874,-48639,4.333333333333333,1,369,8708031
2025-03-16,NVIDIA RTX 3080,50753,4.3,202,90367,4.2,1720,82332,4.9,1905,-39614,-31579,4.466666666666667,1,235,11926955
2025-03-16,AMD RX 6600,55656,4.2,1741,28864,3.6,1637,54484,4.5,278,26792,1172,4.1000000000000005,0,1,55656
2025-03-16,AMD RX 6700 XT,88369,4.3,1244,41607,3.9,903,65393,4.7,1831,46762,22976,4.3,0,1,88369
2025-03-16,NVIDIA RTX 4060,67213,4.4,1573,35805,4.2,493,39013,3.6,1594,31408,28200,4.066666666666667,0,1,67213
2025-03-16,AMD RX 7900 XTX,91657,4.7,1222,57903,4.7,349,54229,3.7,217,33754,37428,4.366666666666667,0,1,91657
2025-03-15,NVIDIA RTX 3060,81749,4.6,1072,57783,4.7,1007,35427,4.3,1109,23966,46322,4.533333333333334,0,1,81749
2025-03-15,NVIDIA RTX 3070,83114,4.6,1820,54670,3.8,1605,26874,4.5,1596,28444,56240,4.3,0,1,83114
2025-03-15,NVIDIA RTX 3080,62617,4.2,589,38584,4.5,526,43810,4.2,1503,24033,18807,4.3,0,1,62617
2025-03-15,AMD RX 6600,61595,3.6,685,87161,4.5,739,97500,3.7,128,-25566,-35905,3.9333333333333336,1,150,9239250
2025-03-15,AMD RX 6700 XT,54960,4.0,1928,65643,4.4,186,46986,4.6,1538,-10683,7974,4.333333333333333,0,100,5496000
2025-03-15,NVIDIA RTX 4060,33694,3.7,884,91278,3.9,1407,69227,5.0,1454,-57584,-35533,4.2,1,317,10680998
2025-03-15,AMD RX 7900 XTX,47814,3.8,949,62793,4.0,206,96823,4.4,1343,-14979,-49009,4.066666666666666,1,98,4685772
2025-03-14,NVIDIA RTX 3060,78134,4.3,951,51470,3.9,989,82185,4.5,1906,26664,-4051,4.233333333333333,0,1,78134
2025-03-14,NVIDIA RTX 3070,31855,4.7,897,64657,3.8,665,92461,3.8,851,-32802,-60606,4.1000000000000005,1,196,6243580
2025-03-14,NVIDIA RTX 3080,29276,4.1,112,40924,4.7,118,43682,4.0,204,-11648,-14406,4.266666666666667,1,92,2693392
2025-03-14,AMD RX 6600,70551,4.6,1847,32264,4.7,1073,81466,4.1,864,38287,-10915,4.466666666666667,0,1,70551
2025-03-14,AMD RX 6700 XT,81330,4.6,1218,45357,4.7,609,39609,4.9,611,35973,41721,4.733333333333333,0,1,81330
2025-03-14,NVIDIA RTX 4060,54905,3.8,992,46764,3.6,1366,39824,3.9,701,8141,15081,3.766666666666667,0,10,549050
2025-03-14,AMD RX 7900 XTX,85891,4.1,1469,71478,3.6,828,58446,3.5,1392,14413,27445,3.733333333333333,0,1,85891
2025-03-13,NVIDIA RTX 3060,80926,3.7,1057,47919,4.3,319,75373,4.9,1416,33007,5553,4.3,0,1,80926
2025-03-13,NVIDIA RTX 3070,43825,4.3,1957,42488,3.8,1243,89861,4.9,1927,1337,-46036,4.333333333333333,0,21,920325
2025-03-13,NVIDIA RTX 3080,78493,4.3,155,71116,4.6,143,86469,4.0,1360,7377,-7976,4.3,0,1,78493
2025-03-13,AMD RX 6600,38268,4.1,1875,74448,4.6,613,85030,3.9,319,-36180,-46762,4.2,1,224,8572032
2025-03-13,AMD RX 6700 XT,84003,3.6,876,31150,4.6,1244,25539,4.8,481,52853,58464,4.333333333333333,0,1,84003
2025-03-13,NVIDIA RTX 4060,66639,4.2,791,65074,4.5,488,77603,3.5,982,1565,-10964,4.066666666666666,0,22,1466058
2025-03-13,AMD RX 7900 XTX,73971,4.6,1803,50914,4.0,1599,88111,3.6,1153,23057,-14140,4.066666666666666,0,1,73971
2025-03-12,NVIDIA RTX 3060,79321,4.8,1063,85648,4.8,1326,45511,3.7,1098,-6327,33810,4.433333333333334,0,57,4521297
2025-03-12,NVIDIA RTX 3070,28958,3.6,816,43580,4.3,1020,24179,4.7,612,-14622,4779,4.2,0,94,2722052
2025-03-12,NVIDIA RTX 3080,56714,3.6,1434,62911,4.3,1029,55489,4.1,712,-6197,1225,4.0,0,62,3516268
2025-03-12,AMD RX 6600,27530,4.9,508,27320,4.3,1602,73283,4.8,1198,210,-45753,4.666666666666667,0,25,688250
2025-03-12,AMD RX 6700 XT,29760,3.7,358,46471,4.4,845,58211,5.0,1444,-16711,-28451,4.366666666666667,1,125,3720000
2025-03-12,NVIDIA RTX 4060,89554,3.7,546,55925,4.6,1448,80912,3.7,1630,33629,8642,4.0,0,1,89554
2025-03-12,AMD RX 7900 XTX,88682,3.9,855,74344,4.3,1118,78927,4.0,1882,14338,9755,4.066666666666666,0,1,88682
2025-03-11,NVIDIA RTX 3060,48955,4.4,1631,47224,3.9,939,48919,3.8,182,1731,36,4.033333333333334,0,32,1566560
2025-03-11,NVIDIA RTX 3070,38353,4.9,321,65112,3.6,1449,42753,4.1,778,-26759,-4400,4.2,1,172,6596716
2025-03-11,NVIDIA RTX 3080,27920,4.4,1959,31097,4.8,365,27455,4.5,1081,-3177,465,4.566666666666666,0,66,1842720
2025-03-11,AMD RX 6600,74441,4.9,506,45670,3.8,1094,57811,4.1,1226,28771,16630,4.266666666666667,0,1,74441
2025-03-11,AMD RX 6700 XT,36811,4.5,1384,47923,3.5,1414,92539,4.6,765,-11112,-55728,4.2,1,99,3644289
2025-03-11,NVIDIA RTX 4060,54664,4.5,717,78323,4.2,1377,78523,4.6,1619,-23659,-23859,4.433333333333333,1,160,8746240
2025-03-11,AMD RX 7900 XTX,42502,4.7,811,55948,4.0,1340,74043,3.7,320,-13446,-31541,4.133333333333333,1,115,4887730
2025-03-10,NVIDIA RTX 3060,95336,4.5,241,31396,4.9,527,25805,3.7,1124,63940,69531,4.366666666666667,0,1,95336
2025-03-10,NVIDIA RTX 3070,93621,4.0,1839,87064,4.2,1408,29394,3.9,1489,6557,64227,4.033333333333333,0,1,93621
2025-03-10,NVIDIA RTX 3080,81072,3.7,841,32912,4.3,1923,70364,5.0,1610,48160,10708,4.333333333333333,0,1,81072
2025-03-10,AMD RX 6600,88052,3.7,460,79542,4.7,219,26610,4.2,677,8510,61442,4.2,0,1,88052
2025-03-10,AMD RX 6700 XT,95714,3.9,1755,61173,3.6,244,86367,4.6,607,34541,9347,4.033333333333333,0,1,95714
2025-03-10,NVIDIA RTX 4060,89180,4.2,1597,62471,4.9,1163,47961,4.3,610,26709,41219,4.466666666666668,0,1,89180
2025-03-10,AMD RX 7900 XTX,59819,4.8,1801,35558,4.6,1188,59791,4.8,1535,24261,28,4.733333333333333,0,1,59819
2025-03-09,NVIDIA RTX 3060,35643,4.8,599,74058,3.8,1445,59879,4.7,506,-38415,-24236,4.433333333333334,1,206,7342458
2025-03-09,NVIDIA RTX 3070,87578,4.4,876,59274,4.4,466,89901,4.7,311,28304,-2323,4.5,0,1,87578
2025-03-09,NVIDIA RTX 3080,66327,4.2,765,77283,4.6,1280,92847,3.8,1850,-10956,-26520,4.2,1,69,4576563
2025-03-09,AMD RX 6600,49828,3.8,1733,74443,4.2,1462,43372,3.7,921,-24615,6456,3.9,0,133,6627124
2025-03-09,AMD RX 6700 XT,58650,3.9,1320,78829,3.8,469,29271,5.0,399,-20179,29379,4.233333333333333,0,128,7507200
2025-03-09,NVIDIA RTX 4060,62764,3.5,491,78766,4.0,423,78020,4.4,286,-16002,-15256,3.966666666666667,1,90,5648760
2025-03-09,AMD RX 7900 XTX,35198,4.6,1100,96893,4.2,821,31793,4.1,727,-61695,3405,4.3,0,340,11967320
2025-03-08,NVIDIA RTX 3060,59156,4.2,1557,67813,5.0,764,54149,4.0,1081,-8657,5007,4.3999999999999995,0,83,4909948
2025-03-08,NVIDIA RTX 3070,90003,4.7,290,74099,4.6,981,34217,4.1,205,15904,55786,4.466666666666667,0,1,90003
2025-03-08,NVIDIA RTX 3080,62381,4.1,598,69379,3.9,1217,62784,3.9,674,-6998,-403,3.966666666666667,1,82,5115242
2025-03-08,AMD RX 6600,67574,4.4,1069,53111,4.6,1996,73838,4.1,755,14463,-6264,4.366666666666666,0,1,67574
2025-03-08,AMD RX 6700 XT,94404,4.1,1627,58252,4.9,1016,29721,3.6,206,36152,64683,4.2,0,1,94404
2025-03-08,NVIDIA RTX 4060,68239,4.6,654,74048,4.6,682,65893,3.9,673,-5809,2346,4.366666666666666,0,44,3002516
2025-03-08,AMD RX 7900 XTX,64248,3.8,1577,28376,3.7,1923,38736,3.8,1106,35872,25512,3.766666666666667,0,1,64248
2025-03-07,NVIDIA RTX 3060,49826,3.7,1197,61615,4.0,554,72393,4.0,298,-11789,-22567,3.9,1,82,4085732
2025-03-07,NVIDIA RTX 3070,47836,3.8,1091,52736,3.5,1783,29384,4.3,1865,-4900,18452,3.8666666666666667,0,47,2248292
